    43 Ariadne            0.652  25  0.459  17  0.189  17 12.180  21  0.141  17  0.085  21  0.057  21  0.048  14 1981-05-09T03:47:00   5 -9
    44 Nysa               0.060  27  0.041  19  0.016   8 10.925   7  0.032  15 -0.001  20  0.016  17  0.058  24 1979-08-22T11:23:00   6 -9
    44 Nysa               0.107  21  0.067  15  0.043  18 10.730  46  0.048   7  0.034  20  0.020  15  0.089  25 1979-08-24T08:42:00  35 -9
    44 Nysa               0.096  18  0.059  16  0.031  15 10.702  20  0.057  12  0.062  13  0.093  20  0.129  12 1982-06-20T09:34:00   5 -9
    45 Eugenia            0.076  36  0.020  19 -0.034  16 11.411  28  0.036  22  0.045  19 -0.001  31 -0.045  27 1979-08-23T09:15:00   4 -9
    45 Eugenia            0.131  26  0.054  24 -0.010  17 12.028  23 -0.011  21 -0.004  17 -0.057  24 -0.076  31 1980-12-26T06:24:00  15 -9
    46 Hestia             0.093  30  0.046  18  0.026  17 12.296  10  0.057  16  0.073  16  0.083  18  0.052  24 1981-05-08T08:38:00   6 -9
    46 Hestia             0.080  39  0.052  34  0.030  34 11.808  35  0.085  29  0.141  27  0.123  34  0.140  41 1982-10-10T11:34:00   8 -9
    47 Aglaja             0.246  34  0.112  21  0.008  25 12.084  29 -0.006  15 -0.021  21 -0.046  24 -0.077  32 1979-10-15T03:44:00   4 -9
    47 Aglaja             0.145  32  0.075  22 -0.014  20 12.817  20 -0.013  27 -0.014  21 -0.019  26 -0.041  21 1980-12-27T08:02:00   5 -9
    48 Doris             -9.999 -99  0.233  18  0.034  17 11.307  17 -0.029  20 -0.015  23 -0.012  19 -0.010  34 1979-11-21T09:07:00   6 -9
    49 Pales              0.368  45  0.293  40  0.086  37 11.380  52 -0.017  44  0.041  45  0.044  37  0.065  39 1982-10-09T06:12:00   6 -9
    50 Virginia           0.222  44  0.178  35  0.044  35 11.773  50  0.067  32  0.052  38  0.082  35  0.094  38 1982-10-09T05:22:00   5 -9
    51 Nemausa            0.500  29  0.341  19  0.096   9 10.933   8 -0.002  13  0.064  15  0.075  21  0.075  33 1979-08-22T04:24:00   5 -9
    51 Nemausa            0.493  46  0.363  40  0.104  42 11.063  41  0.057  34  0.174  40  0.242  32  0.276  81 1980-11-08T10:37:00   5 -9
    51 Nemausa            0.526  30  0.383  25  0.120  19 11.087  10 -0.022  24  0.060  18  0.054  26  0.076  31 1980-12-26T06:04:00   5 -9
    52 Europa             0.137  19  0.070  17 -0.024  10 10.903   8 -0.017   9 -0.032  10  0.011  12 -0.044   9 1979-05-31T09:30:00   7 -9
    54 Alexandra          0.260  23  0.153  18  0.010  13 12.676  16 -0.003  18  0.019  20  0.057  18  0.081  22 1980-12-24T10:49:00  10 -9
    55 Pandora            0.096  45  0.057  38 -0.003  38 10.945  52  0.036  40  0.073  32  0.106  35  0.143  42 1982-10-09T10:24:00   6 -9
    56 Melete             0.154  26  0.111  19  0.006  13 12.998  13  0.108  13  0.134  14  0.126  17  0.139  22 1981-02-08T06:15:00   6 -9
    57 Mnemosyne          0.443  24  0.337  14  0.148  11 12.674  18  0.176  16  0.167  24  0.136  21  0.216  36 1981-05-05T11:00:00   5 -9
    58 Concordia          0.301  53  0.177  39  0.045  39 13.356  53  0.012  44  0.007  38  0.050  35  0.041  47 1982-10-09T10:45:00  15 -9
    59 Elpis              0.138  31  0.079  19 -0.001  15 13.228  12  0.027  14  0.043  18  0.043  18  0.038  23 1979-05-31T06:36:00   8 -9
    60 Echo               0.512  21  0.357  14  0.168  16 12.240  21  0.158  24  0.114  26  0.068  25  0.195  28 1981-05-06T08:28:00   5 -9
    61 Danae              0.454  19  0.359  29  0.170  22 12.805  15  0.167  16  0.130  18  0.136  19  0.203  12 1981-02-06T05:28:00   5 -9
    62 Erato              0.252  18  0.142  19  0.012  15 13.514  17 -0.002  23 -0.074  39 -0.067  38 -0.255  49 1981-09-27T04:14:00  10 -9
    63 Ausonia            0.540  43  0.454  35  0.177  36 11.237  29  0.225  26  0.216  22  0.215  18  0.232  40 1981-11-05T06:47:00   4 -9
    64 Angelina           0.163  21  0.106   7  0.050  26 11.815  69  0.102  17  0.141   8  0.112  12  0.189  20 1981-07-24T09:54:00   6 -9
    64 Angelina           0.133  54  0.069  30  0.031  19 11.950  79  0.106  31  0.163  43  0.136  47  0.078  88 1981-08-30T05:51:00   5 -9
