Asteroid designations ( Number, Name, Temporary designation): 85804, -, 1998_WQ5
Observation was done on (UT) (format YYYY-MM-DD-hh): 2004 - 08 - 23 - 00:00
Observation was made by : Simone Ieva E-mail; 
At observatory with UAI code: 568
Obsv. comments: 
1.9170 1.02500
1.9204 1.15573
1.9237 0.86159
1.9271 0.85961
1.9305 0.98980
1.9339 0.85766
1.9373 0.88864
1.9407 0.89728
1.9441 0.89197
1.9475 0.82416
1.9508 0.88744
1.9542 1.13263
1.9576 0.97071
1.9610 0.86522
1.9644 1.05375
1.9678 0.96072
1.9712 0.89617
1.9746 0.95858
1.9780 1.05984
1.9813 1.14283
1.9847 1.11550
1.9881 1.13113
1.9915 1.07491
1.9949 1.06814
1.9983 0.95352
2.0017 0.82487
2.0051 0.60825
2.0085 0.57995
2.0118 1.00264
2.0152 1.01797
2.0186 0.79263
2.0220 0.78613
2.0254 0.87388
2.0288 0.96639
2.0322 1.02270
2.0356 1.16914
2.0390 0.96821
2.0424 0.84552
2.0457 0.94253
2.0491 1.03332
2.0525 1.12012
2.0559 1.10736
2.0593 0.99612
2.0627 0.87326
2.0661 0.84943
2.0695 0.90999
2.0729 0.88063
2.0762 0.90031
2.0796 1.00991
2.0830 1.02963
2.0864 1.00126
2.0898 0.93749
2.0932 0.93591
2.0966 1.03293
2.1000 1.05893
2.1034 0.91516
2.1067 0.97406
2.1101 0.94716
2.1135 0.95578
2.1169 1.07041
2.1203 1.01517
2.1237 0.86557
2.1271 0.93622
2.1305 0.96570
2.1339 1.02722
2.1372 0.99257
2.1406 0.94976
2.1440 0.93207
2.1474 0.96824
2.1508 0.88453
2.1542 0.96720
2.1576 0.86841
2.1610 0.86964
2.1644 1.24386
2.1677 1.07960
2.1711 1.03341
2.1745 0.93495
2.1779 1.07510
2.1813 1.04455
2.1847 1.00618
2.1881 0.91965
2.1915 0.95635
2.1949 0.98479
2.1982 0.91935
2.2016 1.09371
2.2050 1.06240
2.2084 0.98631
2.2118 1.16760
2.2152 0.80118
2.2186 0.99191
2.2220 1.01605
2.2254 1.06361
2.2288 1.05321
2.2321 0.88806
2.2355 0.95707
2.2389 0.89089
2.2423 0.92194
2.2457 0.77811
2.2491 1.04859
2.2525 1.14383
2.2559 1.13934
2.2593 0.82957
2.2626 1.13173
2.2660 0.86544
2.2694 1.07013
2.2728 1.14145
2.2762 1.17903
2.2796 0.91574
2.2830 0.83654
2.2864 0.84041
2.2898 1.00759
2.2931 0.97365
2.2965 0.96861
2.2999 1.12348
2.3033 1.03370
2.3067 0.93549
2.3101 0.93157
2.3135 1.09903
2.3169 1.01162
2.3203 0.77685
2.3237 0.85818
2.3270 0.85568
2.3304 0.93873
2.3338 1.02581
2.3372 0.85450
2.3406 1.07141
2.3440 1.03185
2.3474 1.08250
2.3508 1.05869
2.3542 0.93904
2.3575 0.99656
2.3609 1.01572
2.3643 1.18232
2.3677 1.02248
2.3711 0.73444
2.3745 0.96001
2.3779 0.74837
2.3813 1.11334
2.3847 1.02672
2.3880 0.96244
2.3914 1.26836
2.3948 1.16129
2.3982 1.06485
2.4016 1.02884
