/hardersen_et_al_2011/zwetana.tab          785 Zwetana        2005-04-19T11:08:00 2005-04-19T12:34:00 11.67 0.8 0:12:30  30 2.03 1.05  8.37 1.10 SAO 120107
/hardersen_et_al_2011/sarita.tab           796 Sarita         2007-01-24T14:16:00 2007-01-24T14:43:00 15.28 0.8 0:20:00  10 3.35 3.36 16.85 1.51 SAO 120107
/hardersen_et_al_2011/ruth.tab             798 Ruth           2008-08-18T13:08:00 2008-08-18T14:01:00 15.30 0.8 0:10:00   5 3.11 2.99 18.98 1.30 HD 28099  
/hardersen_et_al_2011/glasenappia1.tab     857 Glasenappia    2008-08-17T13:34:00 2008-08-17T14:28:00 15.85 0.8 0:18:00   9 2.14 2.15 27.30 1.42 HD 28099  
/hardersen_et_al_2011/glasenappia2.tab     857 Glasenappia    2008-08-18T14:17:00 2008-08-18T14:44:00 15.85 0.8 0:16:00   8 2.14 2.14 27.35 1.25 HD 28099  
/hardersen_et_al_2011/ursina1.tab          860 Ursina         2008-08-16T07:52:00 2008-08-16T11:25:00 13.40 0.8 1:20:00  40 2.49 1.49  2.80 1.29 HD 28099  
/hardersen_et_al_2011/ursina2.tab          860 Ursina         2009-01-07T04:46:00 2009-01-07T05:15:00 15.59 0.8 0:08:00   4 2.54 2.94 18.94 1.49 HD 28099  
/hardersen_et_al_2011/holda.tab            872 Holda          2004-10-03T06:33:00 2004-10-03T07:52:00 14.01 0.8 0:22:00  11 2.91 1.92  4.04 1.29 HD 1835   
/hardersen_et_al_2011/whittemora.tab       931 Whittemora     2005-04-19T06:43:00 2005-04-19T09:01:00 14.61 0.8 0:58:00  29 3.47 2.57  8.67 1.11 SAO 120107
/hardersen_et_al_2011/morosovia1.tab      1210 Morosovia      2007-01-22T05:48:00 2007-01-22T08:05:00 15.43 0.8 1:12:00  36 3.16 2.66 16.79 1.10 SAO 120107
/hardersen_et_al_2011/morosovia2.tab      1210 Morosovia      2007-01-24T05:09:00 2007-01-24T05:57:00 15.46 0.8 0:40:00  20 3.16 2.69 17.01 1.02 SAO 120107
/hardersen_et_al_2011/jeanjacques.tab     1461 Jean-Jacques   2006-07-29T06:39:00 2006-07-29T07:48:00 15.54 0.8 0:10:00   5 3.26 2.64 15.75 1.26 SAO 31899 
/hardersen_et_al_2014/shiretoko.tab       3867 Shiretoko      2013-01-14T13:28:00 2013-01-14T15:12:00 16.82 0.8 1:08:00  34 2.15 1.53 24.35 1.04 HD 28099  
/hardersen_et_al_2014/jeanloup.tab        5235 Jean-Loup      2013-01-14T11:51:00 2013-01-14T12:18:00 16.54 0.8 0:20:00  10 2.59 1.68 10.15 1.03 HD 28099  
/hardersen_et_al_2014/amytis.tab          5560 Amytis         2013-01-14T07:02:00 2013-01-14T07:31:00 17.38 0.8 0:20:00  10 2.51 1.60 10.67 1.07 HD 28099  
/hardersen_et_al_2014/6331.tab            6331 -              2013-01-14T08:25:00 2013-01-14T08:54:00 16.67 0.8 0:20:00  10 2.63 1.65  1.24 1.14 HD 28099  
/hardersen_et_al_2014/kanatsu.tab         6976 Kanatsu        2013-01-14T06:15:00 2013-01-14T10:27:00 16.61 0.8 0:36:00  18 2.44 1.52 10.25 1.07 HD 28099  
/hardersen_et_al_2014/17469.tab          17469 -              2013-01-14T12:34:00 2013-01-14T13:13:00 16.77 0.8 0:20:00  10 2.23 1.40 16.94 1.06 HD 28099  
/hardersen_et_al_2014/29796.tab          29796 -              2013-01-14T09:16:00 2013-01-14T09:44:00 16.86 0.8 0:20:00  10 2.21 1.29 10.99 1.02 HD 28099  
/hardersen_et_al_2014/30872.tab          30872 -              2013-01-14T07:50:00 2013-01-14T08:19:00 16.76 0.8 0:20:00  10 2.34 1.36  0.90 1.26 HD 28099  
/hardersen_et_al_2015/veteraniya.tab      2011 Veteraniya     2014-08-26T10:31:00 2014-08-26T10:58:00 15.22 0.8 0:20:00  10 2.04 1.05  7.99 1.34 HD 28099  
/hardersen_et_al_2015/kuga.tab            5875 Kuga           2014-09-03T11:00:00 2014-09-03T11:25:00 15.47 0.8 0:20:00  10 2.39 1.39  3.85 1.11 HD 28099  
/hardersen_et_al_2015/ruff.tab            8149 Ruff           2014-09-03T12:50:00 2014-09-03T13:17:00 16.71 0.8 0:20:00  10 2.35 1.41 11.42 1.14 HD 28099  
/hardersen_et_al_2015/kourakuen.tab       9147 Kourakuen      2014-08-26T09:40:00 2014-08-26T10:11:00 15.69 0.8 0:20:00  10 2.08 1.07  3.76 1.21 HD 28099  
/hardersen_et_al_2015/colas.tab           9553 Colas          2014-09-03T11:36:00 2014-09-03T12:02:00 16.85 0.8 0:20:00  10 2.11 1.15 11.92 1.78 HD 28099  
/hardersen_et_al_2015/15237_1.tab        15237 -              2014-09-03T14:59:00 2014-09-03T15:26:00 16.96 0.8 0:20:00  10 2.05 1.12 15.22 1.35 HD 28099  
/hardersen_et_al_2015/15237_2.tab        15237 -              2014-09-04T15:14:00 2014-09-04T15:40:00 16.92 0.8 0:20:00  10 2.05 1.12 14.75 1.46 HD 28099  
/hardersen_et_al_2015/rotarysusa.tab     31414 Rotarysusa     2014-09-03T12:15:00 2014-09-03T12:40:00 16.50 0.8 0:20:00  10 1.96 0.95  0.15 1.23 HD 28099  
/hardersen_et_al_2015/32940.tab          32940 -              2014-09-04T11:48:00 2014-09-04T12:22:00 16.63 0.8 0:28:00  14 1.89 0.92  9.82 1.60 HD 28099  
/to_be_published_in_2016/swope1.tab       2168 Swope          2015-01-16T12:25:00 2015-01-16T13:05:00 17.39 0.8 0:26:40   8 2.83 2.14 16.46 1.15 SAO 120107
/to_be_published_in_2016/swope2.tab       2168 Swope          2015-01-17T13:37:00 2015-01-17T14:19:00 17.37 0.8 0:23:20   7 2.83 2.13 16.24 1.06 SAO 120107
/to_be_published_in_2016/swope3.tab       2168 Swope          2015-01-19T12:42:00 2015-01-19T13:30:00 17.33 0.8 0:40:00  12 2.82 2.10 15.78 1.10 SAO 120107
/to_be_published_in_2016/stohl1.tab       3715 Stohl          2015-01-15T11:22:00 2015-01-15T12:02:00 16.09 0.8 0:33:20  10 2.32 1.34  3.36 1.01 SAO 120107
/to_be_published_in_2016/stohl2.tab       3715 Stohl          2015-01-19T10:26:00 2015-01-19T11:18:00 16.00 0.8 0:26:40   8 2.32 1.34  1.97 1.00 SAO 120107
/to_be_published_in_2016/celle1.tab       3782 Celle          2015-01-15T15:29:00 2015-01-15T15:55:00 17.16 0.8 0:13:20   4 2.31 2.07 25.20 1.23 SAO 120107
/to_be_published_in_2016/celle2.tab       3782 Celle          2015-01-16T15:28:00 2015-01-16T16:00:00 17.14 0.8 0:06:40   2 2.31 2.06 25.21 1.23 SAO 120107
/to_be_published_in_2016/incidentia1.tab  3849 Incidentia     2015-01-16T13:21:00 2015-01-16T14:02:00 17.15 0.8 0:26:40   8 2.40 1.81 21.83 1.12 SAO 120107
/to_be_published_in_2016/incidentia2.tab  3849 Incidentia     2015-01-17T14:33:00 2015-01-17T15:14:00 17.13 0.8 0:30:00   9 2.40 1.80 21.65 1.04 SAO 120107
/to_be_published_in_2016/feldberg1.tab   10666 Feldberg       2015-01-16T11:03:00 2015-01-16T11:43:00 16.14 0.8 0:26:40   8 2.09 1.12  4.54 1.02 SAO 120107
/to_be_published_in_2016/feldberg2.tab   10666 Feldberg       2015-01-19T09:34:00 2015-01-19T10:14:00 16.14 0.8 0:23:20   7 2.09 1.12  4.54 1.05 SAO 120107
/to_be_published_in_2016/5754_1.tab       5754 -              2015-01-15T12:29:00 2015-01-15T12:55:00 16.26 0.8 0:10:00   3 2.43 1.50  9.71 1.63 SAO 120107
/to_be_published_in_2016/5754_2.tab       5754 -              2015-01-19T08:15:00 2015-01-19T09:21:00 16.37 0.8 0:16:40   5 2.44 1.53 11.46 1.02 SAO 120107
/to_be_published_in_2016/19165.tab       19165 -              2015-01-19T06:59:00 2015-01-19T07:54:00 16.71 0.8 0:33:20  10 2.12 1.23 14.84 1.09 SAO 120107
